scenario	year	period	mean.effects.Inds	mean.effects.abovemass	mean.effects.NPFT	mean.effects.eveness	mean.effects.shannon	mean.effects.simpson	mean.effects.simpsoninv	min.effects.Inds	min.effects.abovemass	min.effects.NPFT	min.effects.eveness	min.effects.shannon	min.effects.simpson	min.effects.simpsoninv	max.effects.Inds	max.effects.abovemass	max.effects.NPFT	max.effects.eveness	max.effects.shannon	max.effects.simpson	max.effects.simpsoninv
1	32	during	0.872612617221535	0.940779223482193	1.00242403767187	0.976469793807232	0.937053119003051	0.982173379638372	0.811630243610763	1.08194492175248	1.05711043730721	1.00664767331434	1.01693390248359	1.00192351818886	0.999155085489711	0.981124713867763	0.539283461005816	0.580340093975	1	0.916399392836461	0.84481129391146	0.953309036252394	0.605783574794952
0	33	during	1	1	1	1	1	1	1	1.13405967647639	1.07856575124064	1.00283822138127	1.0265452280422	1.02588782354877	1.00436728410873	1.0669786606875	0.867440505468831	0.875642603683143	0.98391674550615	0.965270972838816	0.971645150211033	0.994176861009045	0.918560333812939
1	33	during	0.848243376910092	0.92782382403785	1.00131098570442	0.977392002866316	0.93518386061401	0.98124520273506	0.805045031608777	1.07291448168203	1.04850231793979	1.00473933649289	1.02310771333259	1.01013181109313	0.999892391369828	0.99691268271485	0.530294547630926	0.63099375197724	0.987654320987654	0.923438382765712	0.846454738368932	0.95662119058975	0.619549292907511
0	34	during	1	1	1	1	1	1	1	1.09996183805868	1.06974324795612	1.00283822138127	1.02343696704406	1.02585396411136	1.00336826060146	1.05223767592355	0.814659117360544	0.813173581579648	0.98391674550615	0.969561922188499	0.970124439965708	0.995770369235261	0.938369612920331
1	34	during	0.846308301462056	0.929035912395743	1.00177340531717	0.970686803495439	0.936361182668346	0.981183007716383	0.802564200290149	1.04706113835382	1.0522271729865	1.00378787878788	1.00936742523729	1.01055850061681	0.999584921584121	0.993676926025338	0.551019027262829	0.607911321458041	1	0.919439014493535	0.848819384080839	0.957517354166533	0.619118743140551
0	35	during	1	1	1	1	1	1	1	1.11350403461596	1.06979402193024	1.00569259962049	1.02697900322992	1.02308606978509	1.00358146975138	1.05641338153963	0.809704280929941	0.856582982387024	0.981746625879211	0.967107163818801	0.970099931660052	0.995869713685005	0.940380886744245
1	35	during	0.849165861167781	0.938722520668415	1.00209620853862	0.974903839725465	0.93848206618868	0.982063770538236	0.811647579533864	1.04044722329722	1.03877836732397	1.00760456273764	1.01458142673472	1.01112121317962	1.00060161826856	1.00830859679974	0.550390860277188	0.660300280300882	1	0.918195743236859	0.85478583020153	0.959451543391566	0.635047098312403
0	36	after	1	1	1	1	1	1	1	1.0895651042637	1.08418150074765	1.00671944002109	1.02631175726148	1.0325216180615	1.00485063569812	1.07719503206095	0.865434977665398	0.654094275511471	0.987654320987654	0.969940451671314	0.960788046927823	0.994134290248581	0.91646312517925
1	36	after	0.922221569216117	0.993624090313031	1.00082123688433	0.977008186221705	0.961444056563219	0.989100990086868	0.874187948148874	1.11724116659919	1.11299547836621	1.00760456273764	1.01485940715034	1.01302849765439	1.00224457012345	1.03109081285433	0.6982377865564	0.787615719114653	0.9895337773549	0.925530813455316	0.863392978985646	0.965633026483405	0.661728714512862
0	37	after	1	1	1	1	1	1	1	1.13112540106182	1.09742296441949	1.00569259962049	1.03034842314224	1.04100969746706	1.00648699830196	1.0934829895048	0.803565357090697	0.840986073270093	0.986647254501031	0.949793687364204	0.931265043596192	0.985932739449327	0.826625016084947
1	37	after	0.936607457605551	0.972066879470156	1.00064544685978	0.979263123455276	0.976541095821288	0.991596777628815	0.911753506474617	1.12903752398321	1.084575640192	1.00856327307326	1.02098519253395	1.0311266834667	1.00642459673385	1.09648303043403	0.68404601363444	0.6860375073304	0.9895337773549	0.899044775804858	0.87448927686127	0.933727682528592	0.529690969187515
0	38	after	1	1	1	1	1	1	1	1.10659113614164	1.07111889575504	1.00378787878788	1.02822718505395	1.04876943923546	1.00755061778753	1.11870639843545	0.817252425773736	0.863302920184537	0.983870290513444	0.958981858407004	0.934974669624536	0.985643714779106	0.825495958836424
1	38	after	0.953927691369958	0.992991661753356	0.99953649378051	0.981751469929254	0.982651492316756	0.994555689656349	0.928570897631313	1.11816559381905	1.07669631036765	1.00378787878788	1.01596020501376	1.02620827608623	1.00546992707337	1.08047572204911	0.706039587201122	0.802399842474785	0.982852016832281	0.945748267674985	0.904121817974808	0.980142286758164	0.77173560172368
0	39	after	1	1	1	1	1	1	1	1.1554069263787	1.08887274221536	1.00664767331434	1.02397699847843	1.04269869735962	1.00693732844984	1.11146380344229	0.798413398500198	0.815412306142433	0.986717267552182	0.959643990307591	0.94416766656884	0.987817870500167	0.838577083489636
1	39	after	0.966242379771585	0.974744595378131	1.00082746142614	0.986541561507997	0.982659303572953	0.995004926291449	0.933099295771024	1.11904100171388	1.07548556217581	1.00664767331434	1.02005490414109	1.01709481312522	1.00275250943684	1.03449429690938	0.785502565813747	0.632783830711417	0.987654320987654	0.944824227525206	0.925387606384556	0.981619058672406	0.781906903909257
0	40	after	1	1	1	1	1	1	1	1.13518532359687	1.09965410444759	1.00856327307326	1.02348618151663	1.03916133357485	1.00578328590217	1.09168485972	0.816784844778151	0.72955534012137	0.987607512725996	0.958657259226661	0.952653428153073	0.989868532542512	0.860457255811758
1	40	after	0.972826209005362	0.980881907202238	1.00004081270096	0.98079082609442	0.977952476776123	0.993600595549647	0.915620399449291	1.18214344237708	1.11515716668439	1.00856327307326	1.00721643136672	1.02049330126921	1.0012860084114	1.01340160886251	0.726318856457719	0.723673115092871	0.970504281636537	0.93161309299826	0.894899537043392	0.976582869404561	0.742639573360011
