Time	scenario	period	year	week	mean.effects.Inds	mean.effects.abovemass	mean.effects.NPFT	mean.effects.eveness	mean.effects.shannon	mean.effects.simpson	mean.effects.simpsoninv	min.effects.Inds	min.effects.abovemass	min.effects.NPFT	min.effects.eveness	min.effects.shannon	min.effects.simpson	min.effects.simpsoninv	max.effects.Inds	max.effects.abovemass	max.effects.NPFT	max.effects.eveness	max.effects.shannon	max.effects.simpson	max.effects.simpsoninv
253	0	before	9	13	1	1	1	0.999999999999997	1	1	0.999999999999999	1.10356536502547	1.09610746713086	1	1.01695777993383	1.03963404012633	1.00602577113426	1.10913324114616	0.803621958121109	0.513303001190362	1	0.968863814808571	0.95733902693615	0.991757395399551	0.874503952661682
253	1	before	9	13	1.00452744765139	1.04226292493002	1	0.999433760184603	1.00349738582937	1.00080953963149	1.01306359064184	1.12478777589134	1.1192112929118	1	1.02108389120513	1.03255213268935	1.0058700544487	1.10581580640663	0.847481607243916	0.934957434150704	1	0.958575184272386	0.94052722935669	0.989069162491799	0.841911120077021
253	2	before	9	13	0.989435955480099	1.03354529243246	1	0.997292338194443	1.00755807533953	1.00088278739102	1.01816461763407	1.08658743633277	1.12894136227153	1	1.01976533198767	1.05806401738368	1.00733988863866	1.13801878252565	0.851726089417091	0.893644220081714	1	0.95346847758163	0.932182783623053	0.986097178119803	0.808898640038576
254	0	before	9	14	1	1	1	0.999999999999999	1	1.00000000000001	1	1.11588666029927	1.08840382500598	1	1.01435931281586	1.03815524276026	1.00564295775175	1.10164512092416	0.789557465775231	0.668065159903846	1	0.968387495881691	0.952545942073146	0.990883309252335	0.862492515493811
254	1	before	9	14	1.01013477661042	1.02158946609992	1	0.999277019032469	1.00301017106844	1.00075564584177	1.01215665512237	1.13180515759312	1.12772084150004	1	1.02466191679206	1.03278188461405	1.00549283016261	1.09846824427098	0.842088506844954	0.531687260055798	1	0.959837229483363	0.938725316464649	0.988548267472315	0.834655740033851
254	2	before	9	14	0.995224450811843	1.02740986989323	1	0.997547690839272	1.00713656662333	1.00077108145352	1.01592909899293	1.13339700732251	1.1075197315354	1	1.0171626868183	1.05927080654729	1.00736825232245	1.13964711391474	0.870741801973894	0.87019150239293	1	0.951567931948021	0.934024460741703	0.9862182064887	0.808811881033745
255	0	before	9	15	1	1	1	1	1.00000000000001	0.999999999999998	1	1.11728837876614	1.07000550355844	1	1.01941415406389	1.03793313073489	1.00634083025297	1.11698036468831	0.805236728837877	0.821202802011201	1	0.968925566853478	0.950879218402574	0.990386148982786	0.855111489472886
255	1	before	9	15	1.01912960306074	1.02688045680908	1	1.0012503037087	1.00337349144333	1.00077044756281	1.01174363284557	1.15315638450502	1.13938842564603	1	1.0259696280577	1.03080844576354	1.00550811734748	1.09895253797673	0.857245337159254	0.716019300883383	1	0.962560762488456	0.937757527281308	0.988178916411617	0.829048341711205
255	2	before	9	15	0.999461979913917	1.02094586063096	1	0.998763623664159	1.00628570996452	1.00073782457184	1.01480195685853	1.14956958393113	1.13010374413531	1	1.02233045156644	1.05970648327239	1.0073609900114	1.13996477079605	0.851865136298422	0.900181782123591	1	0.949321196908228	0.934345133489743	0.986022815251824	0.805249804940004
256	0	before	9	16	1	1	1	1.00000000000001	1	0.999999999999999	1	1.14615282037605	1.07675927999927	1	1.02101009363348	1.03667814726051	1.00573285745559	1.1038997486923	0.808107747699693	0.861212970354431	1	0.968434884158547	0.952598129143494	0.990782342206711	0.860397156345238
256	1	before	9	16	1.0176023469796	1.00960869537438	1	1.00195793102487	1.00495499691596	1.00094384048484	1.01522224997444	1.15415388718496	1.1266144166636	1	1.02526446053357	1.03409900075005	1.00550143897144	1.09896203305134	0.796106147486332	0.473261281158766	1	0.96595566961267	0.938463180355575	0.988736960316036	0.835897123099143
256	2	before	9	16	0.999466595546073	1.01656161694317	1	1.00144923823825	1.00791233995343	1.00107749867992	1.02105404505188	1.15815442058941	1.10363277373587	1	1.02545169403058	1.05863097503577	1.00772305749504	1.14844874808494	0.816108814508601	0.882905663406852	1	0.962507598564971	0.933018572715656	0.986103218791645	0.806556917231421
257	0	before	9	17	1	1	1	1	1	1	1	1.13763105063574	1.12926585243841	1	1.02369225739506	1.0386105930927	1.0064703848766	1.11934381404674	0.776265893374972	0.452241364584731	1	0.967885842236252	0.949340897952796	0.990951365120883	0.861184840523729
257	1	before	9	17	1.03055989292884	1.04296436836304	1	1.00039402589269	1.00598392807378	1.0010196287047	1.01543426997903	1.16439884006246	1.17824461010993	1	1.02852701271721	1.03138849033353	1.00486805223143	1.08494948852032	0.803033682801695	0.646768506204322	1	0.969372188922484	0.941684148827577	0.989324322659063	0.841430362693493
257	2	before	9	17	1.00728678712172	1.0323977029165	1	1.00068121543095	1.00683522602888	1.00082796407337	1.01538097454689	1.1510149453491	1.13695872326407	1	1.02063092358643	1.05111983866954	1.00706976867647	1.13282916052357	0.829801472228419	0.906563037616369	1	0.970552522872491	0.923702756831548	0.985428584047633	0.798008426183764
