Application rate	PFT	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
260	MECIcl4p	23	12	30	0	7	0	0	10	0	0	1	0	0	0	0	0	0	0	30
0	MECIcl4p	24	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	24	0	30	0	0	0	0	1	0	0	8	0	0	7	0	0	14	0	30
260	MECIcl4p	24	16	30	0	2	0	0	10	0	0	2	0	0	0	0	0	0	0	30
0	MECIcl4p	25	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl4p	25	0	30	0	0	0	0	2	0	0	23	0	0	5	0	0	0	0	30
260	MECIcl4p	25	27	30	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECTcl3p	1	30	30	0	0	0	3	0	0	24	0	0	3	0	0	0	0	0	0
90	MECTcl3p	1	30	30	0	0	0	19	0	0	11	0	0	0	0	0	0	0	0	0
260	MECTcl3p	1	30	30	0	0	0	22	0	0	7	0	0	1	0	0	0	0	0	0
0	MECTcl3p	2	30	30	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	26
90	MECTcl3p	2	20	30	0	10	0	0	0	0	1	0	0	2	0	0	6	0	0	21
260	MECTcl3p	2	30	30	4	0	0	0	0	0	2	0	0	7	0	0	9	0	0	8
0	MECTcl3p	3	30	30	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	21
90	MECTcl3p	3	0	30	0	21	0	0	9	0	0	0	0	0	0	0	0	0	0	30
260	MECTcl3p	3	25	30	0	5	0	0	0	0	0	0	0	5	0	0	8	0	0	17
0	MECTcl3p	4	30	30	0	0	0	0	0	0	0	0	0	1	0	0	17	0	0	12
90	MECTcl3p	4	1	30	0	25	0	0	4	0	0	0	0	0	0	0	0	0	0	30
